"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Unified Memory","Virtual Address","Name","Correlation_ID"
ms,us,,,,,,,,B,B,B,MB/s,,,,,,B,,,
534.022417,1.184000,,,,,,,,,,800,644.374537,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",650
534.030705,1.056000,,,,,,,,,,400,361.240271,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",652
534.064691,1.120000,,,,,,,,,,800,681.195940,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",658
534.072275,1.312000,,,,,,,,,,400,290.754364,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",660
534.097940,1.056000,,,,,,,,,,800,722.480542,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",666
534.105908,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",668
534.129365,1.056000,,,,,,,,,,800,722.480542,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",674
534.136917,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",676
534.161942,1.057000,,,,,,,,,,800,721.797023,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",682
534.169783,1.056000,,,,,,,,,,400,361.240271,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",684
534.206712,1.184000,,,,,,,,,,800,644.374537,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",690
534.214552,1.025000,,,,,,,,,,400,372.165586,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",692
534.236025,1.376000,,,,,,,,,,800,554.461811,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",698
534.243961,1.248000,,,,,,,,,,400,305.664845,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",700
534.267002,1.057000,,,,,,,,,,800,721.797023,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",706
534.274683,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",708
534.297820,1.120000,,,,,,,,,,800,681.195940,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",714
534.306012,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",716
534.327037,1.056000,,,,,,,,,,800,722.480542,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",722
534.334493,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",724
534.356350,1.056000,,,,,,,,,,800,722.480542,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",730
534.364062,1.025000,,,,,,,,,,400,372.165586,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",732
534.384991,1.088000,,,,,,,,,,800,701.231114,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",738
534.392864,1.055000,,,,,,,,,,400,361.582679,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",740
534.414625,1.087000,,,,,,,,,,800,701.876222,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",746
534.422176,1.025000,,,,,,,,,,400,372.165586,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",748
534.443042,1.055000,,,,,,,,,,800,723.165358,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",754
534.450530,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",756
534.472003,1.088000,,,,,,,,,,800,701.231114,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",762
534.479651,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",764
534.501060,1.056000,,,,,,,,,,800,722.480542,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",770
534.508676,0.992000,,,,,,,,,,400,384.546095,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",772
534.535237,1.056000,,,,,,,,,,800,722.480542,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",778
534.542629,0.993000,,,,,,,,,,400,384.158838,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",780
534.564390,1.056000,,,,,,,,,,800,722.480542,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",786
534.571847,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",788
534.593223,1.089000,,,,,,,,,,800,700.587193,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",794
534.601032,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",796
534.622121,1.088000,,,,,,,,,,800,701.231114,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",802
534.629929,1.024000,,,,,,,,,,400,372.529030,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",804
534.651242,1.280000,,,,,,,,,,800,596.046448,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",810
534.658858,1.056000,,,,,,,,,,400,361.240271,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",812
534.681995,1.024000,,,,,,,,,,120,111.758709,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",818
534.705836,1.024000,,,,,,,,,,240,223.517418,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",820
534.723501,1.056000,,,,,,,,,,4,3.612402,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",826
534.731341,0.992000,,,,,,,,,,120,115.363828,"Pageable","Device","NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"[CUDA memcpy HtoD]",828
534.783023,3.584000,13,4,1,8,8,1,32,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerForward(float*, float*, float*, float*, int, int, int, int)",832
534.800272,2.592000,12,1,1,256,1,1,8,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"reluActivationForward(float*, float*, int, int)",836
534.813392,3.937000,13,1,1,8,8,1,32,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerForward(float*, float*, float*, float*, int, int, int, int)",840
534.826673,2.656000,1,1,1,256,1,1,12,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"sigmoidActivationForward(float*, float*, int, int)",844
534.839281,3.457000,1,1,1,256,1,1,16,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"dBinaryCrossEntropyCost(float*, float*, float*, int)",848
534.850674,3.072000,1,1,1,256,1,1,14,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"sigmoidActivationBackprop(float*, float*, float*, int, int)",852
534.862546,2.816000,13,4,1,8,8,1,40,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerBackprop(float*, float*, float*, int, int, int, int)",856
534.870962,2.656000,1,1,1,256,1,1,14,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerUpdateBias(float*, float*, int, int, int, float)",858
534.876211,5.728000,4,1,1,8,8,1,31,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerUpdateWeights(float*, float*, float*, int, int, int, int, float)",860
534.887219,2.560000,12,1,1,256,1,1,8,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"reluActivationBackprop(float*, float*, float*, int, int)",864
534.897939,4.161000,13,1,1,8,8,1,40,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerBackprop(float*, float*, float*, int, int, int, int)",868
534.904148,4.768000,12,1,1,256,1,1,14,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerUpdateBias(float*, float*, int, int, int, float)",870
534.909396,5.120000,1,4,1,8,8,1,31,0,0,,,,,"NVIDIA GeForce GTX 1080 Ti (0)","1","7",,,"linearLayerUpdateWeights(float*, float*, float*, int, int, int, int, float)",872
